#Data taken from http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_1.xml on 181206
#LRG_1_exon_label,GRCh38.p12_start,GRCh38.p12_end
1,50201639,50201411
2,50199947,50199753
3,50199590,50199556
4,50199453,50199418
5,50199327,50199226
6,50198504,50198433
7,50198205,50198161
8,50198002,50197949
9,50197785,50197732
10,50197233,50197180
11,50197063,50197010
12,50196670,50196617
13,50196528,50196484
14,50196367,50196314
15,50196199,50196155
16,50195976,50195923
17,50195665,50195567
18,50195478,50195434
19,50195330,50195232
20,50195100,50195047
21,50194828,50194721
22,50194626,50194573
23,50194447,50194349
24,50194183,50194130
25,50194041,50193943
26,50193047,50192994
27,50192850,50192797
28,50192693,50192640
29,50192528,50192475
30,50192024,50191980
31,50191886,50191788
32,50191490,50191383
33,50190924,50190817
34,50190596,50190543
35,50190380,50190327
36,50190108,50190001
37,50189912,50189859
38,50189732,50189679
39,50189538,50189377
40,50189275,50189168
41,50189010,50188903
42,50188795,50188742
43,50188637,50188530
44,50188149,50188096
45,50187983,50187876
46,50187537,50187484
47,50187122,50187015
48,50186922,50186640
49,50186507,50186317
50,50186020,50185778
51,50185648,50184096
